OK
9,9
7,9
10,9
11,9
         2306934 function calls (2288834 primitive calls) in 3.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9803    0.008    0.000    0.008    0.000 {built-in method builtins.min}
     9756    0.006    0.000    0.007    0.000 {built-in method builtins.sum}
33077/33057    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    11557    0.004    0.000    0.004    0.000 board.py:263(_negdiagonal_number)
    11557    0.004    0.000    0.004    0.000 board.py:289(_column_lines)
    12020    0.004    0.000    0.004    0.000 board.py:129(<lambda>)
    11557    0.003    0.000    0.003    0.000 board.py:269(_get_row_lines)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:978(_find_and_load)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    11557    0.003    0.000    0.003    0.000 board.py:259(_posdiagonal_number)
     2179    0.003    0.000    0.003    0.000 {method 'update' of 'set' objects}
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:663(_load_unlocked)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:722(exec_module)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.002    0.002 brain_minimax.py:3(<module>)
    11557    0.002    0.000    0.002    0.000 board.py:251(_horizontal_number)
    11557    0.002    0.000    0.002    0.000 board.py:255(_vertical_number)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:793(get_code)
       11    0.000    0.000    0.001    0.000 re.py:232(compile)
       11    0.000    0.000    0.001    0.000 re.py:271(_compile)
       11    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
       32    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       50    0.000    0.000    0.001    0.000 brain_minimax.py:41(<genexpr>)
        2    0.001    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:914(get_data)
       27    0.000    0.000    0.001    0.000 pbrain_gomoku_ai.py:89(log)
        1    0.000    0.000    0.001    0.001 pbrain_gomoku_ai.py:48(stop)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.001    0.000 board.py:53(__len__)
       16    0.000    0.000    0.001    0.000 board.py:55(<genexpr>)
       11    0.000    0.000    0.001    0.000 sre_parse.py:919(parse)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
