id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
189,"All Singing, All Dancing",04/01/1998,5F24,9,11,189,8.9,15780,5.1,1119
191,The Joy of Sect,08/02/1998,5F23,9,13,191,9.4,27710,8.2,1042
196,This Little Wiggy,22/03/1998,5F13,9,18,196,8.9,20739,7.8,906
198,The Trouble with Trillions,05/04/1998,5F14,9,20,198,7.4,23426,7.9,949
200,Trash of the Titans,26/04/1998,5F09,9,22,200,10.2,26299,8.5,1108
203,Natural Born Kissers,17/05/1998,5F18,9,25,203,8.6,53823,8.1,931
205,The Wizard of Evergreen Terrace,20/09/1998,5F21,10,2,205,7.95,53216,8.2,988
207,Treehouse of Horror IX,25/10/1998,AABF01,10,4,207,8.5,83169,8,1013
212,Mayored to the Mob,20/12/1998,AABF05,10,9,212,8.5,56762,8.2,975
214,Wild Barts Can't Be Broken,17/01/1999,AABF07,10,11,214,8.8,57693,7.7,834
219,Make Room for Lisa,28/02/1999,AABF12,10,16,219,7.6,53449,7.5,795
222,Mom and Pop Art,11/04/1999,AABF15,10,19,222,8.5,47851,7.6,831
224,Monty Can't Buy Me Love,02/05/1999,AABF17,10,21,224,7.26,44242,7.2,789
226,Thirty Minutes over Tokyo,16/05/1999,AABF20,10,23,226,8,55947,7.9,964
229,Guess Who's Coming to Criticize Dinner?,24/10/1999,AABF21,11,3,229,6.7,46141,7.5,797
231,E-I-E-I-(Annoyed Grunt),07/11/1999,AABF19,11,5,231,8.4,51431,7.6,817
233,Eight Misbehavin',21/11/1999,BABF03,11,7,233,9.2,40465,7.1,747
238,The Mansion Family,23/01/2000,BABF08,11,12,238,11.3,43949,7.3,747
240,"Alone Again, Natura-diddily",13/02/2000,BABF11,11,14,240,10.8,47392,7.9,887
242,Pygmoelian,27/02/2000,BABF12,11,16,242,9.4,52891,7.3,755
245,Kill the Alligator and Run,30/04/2000,BABF16,11,19,245,7.46,52176,6.6,805
